新老品标签,国家,PID,SPU,shop_name,二级类目,三级类目,店铺评分,首图 url,上架时间,商品卡日均占比,GPM分层,可用库存,销量排名,是否在联盟,商品详情页URL,营销价
近14天新品,GB,1729864260634712954,S260630021955,Yinos Fashion1,标码女装,女士套装及西服,4.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/2506e5423d71483fa59e772e39b2b388~tplv-g9dfdl17fc-origin-image.image,2026/7/5,内容场占比低,,130,33,,https://shop.tiktok.com/view/product/1729864260634712954?region=GB&locale=en,11.4
近14天新品,US,1732465375773168027,S260624000428,Elan Vogue Boutique,标码女装,女士套装及西服,2.3,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/2f2518d6389c455da92c0bc07541acbf~tplv-g9dfdl17fc-origin-image.image,2026/6/29,内容场占比低,,2391,74,,https://shop.tiktok.com/view/product/1732465375773168027?region=US&locale=en,27.3
近14天新品,US,1732437083929023340,S260611003345,DOUCIU Store,标码女装,女士套装及西服,3.4,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/63cc915e8c1f4259a041a69729a3b515~tplv-g9dfdl17fc-origin-image.image,2026/7/3,内容场占比低,,15,76,,https://shop.tiktok.com/view/product/1732437083929023340?region=US&locale=en,33.8
近14天新品,US,1732466577151922883,S260630028547,Naya Wear,大码女装,女士上装,2.1,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/502c63f5ba9844c1a55078cbf552d9ed~tplv-g9dfdl17fc-origin-image.image,2026/6/30,内容场占比低,,274,77,,https://shop.tiktok.com/view/product/1732466577151922883?region=US&locale=en,12.2
近14天新品,GB,1729858791661280081,S260623014053,ruisusu Marketplace,标码女装,女士穆斯林服饰,4.3,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/48be2bdfafe24221a8afe7a8a2a2c3a5~tplv-g9dfdl17fc-origin-image.image,2026/7/2,内容场占比低,,20,34,,https://shop.tiktok.com/view/product/1729858791661280081?region=GB&locale=en,16.7
近14天新品,GB,1729855436184721844,S260617026184,Celesmeety,标码女装,女士穆斯林服饰,Null,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/54b72b15bc7f49a0a5688a71e5cf2d5c~tplv-g9dfdl17fc-origin-image.image,2026/7/5,内容场占比低,高GPM,86,35,,https://shop.tiktok.com/view/product/1729855436184721844?region=GB&locale=en,66.4
近14天新品,US,1732462446008505281,S260627025678,FSDMillea,标码女装,女士套装及西服,4.2,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/6818eceef1d948f4bb917147ce2146b1~tplv-g9dfdl17fc-origin-image.image,2026/6/30,内容场占比低,,27,78,Not in Affiliate,https://shop.tiktok.com/view/product/1732462446008505281?region=US&locale=en,8.3
近14天新品,US,1732466497083117820,S260630026705,Muutiii,标码女装,女士下装,2.1,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/9e72ab719df44f6aa6d0cb580510f970~tplv-g9dfdl17fc-origin-image.image,2026/6/30,内容场占比低,高GPM,997,79,,https://shop.tiktok.com/view/product/1732466497083117820?region=US&locale=en,11.9
近14天新品,US,1732466474952266384,S260630002673,Duomily,标码女装,女士套装及西服,1.9,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/b8d2dea6d7b9488ebebff2acdb43905b~tplv-g9dfdl17fc-origin-image.image,2026/7/6,,,134,80,,https://shop.tiktok.com/view/product/1732466474952266384?region=US&locale=en,7.8
近14天新品,GB,1729863234016156436,S260629033695,Beta International,标码女装,女士下装,4.2,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/0de3651e5d954675b812d330d7e9435e~tplv-g9dfdl17fc-origin-image.image,2026/6/29,内容场占比低,,2844406,37,,https://shop.tiktok.com/view/product/1729863234016156436?region=GB&locale=en,18.1
